clgx-network-au-nonprd-3ee6,clgx-suburb-scorecard-uat-0c05,0
clgx-network-au-nonprd-3ee6,clgx-valex-data-dev-bfa6,0
clgx-network-au-nonprd-3ee6,clgx-clasia-dwh-uat-613e,0
clgx-network-au-nonprd-3ee6,clgx-property-bureau-uat-2550,0
clgx-network-au-nonprd-3ee6,clgx-rpp-crux-dev-6144,0
clgx-network-au-nonprd-3ee6,clgx-clasia-dwh-dev-face,0
clgx-network-au-nonprd-3ee6,clgx-valex-data-uat-b905,0
clgx-network-au-nonprd-3ee6,clgx-valex-app-uat-ef87,0
clgx-network-au-nonprd-3ee6,clgx-jira-conf-uat-2ee3,0
clgx-network-au-nonprd-3ee6,clgx-valex-app-dev-6622,0
clgx-network-au-nonprd-3ee6,clgx-suburb-scorecard-dev-2b0f,0
clgx-network-au-nonprd-3ee6,clgx-rpp-crux-uat-d8da,0
clgx-network-au-nonprd-3ee6,clgx-jira-conf-dev-9afc,0
clgx-network-au-nonprd-3ee6,clgx-property-bureau-dev-cde4,1
clgx-network-au-prd-c1e4,clgx-valex-app-prd-5856,0
clgx-network-au-prd-c1e4,clgx-valex-app-dr-aa2f,0
clgx-network-au-prd-c1e4,clgx-rpp-crux-prd-f265,0
clgx-network-au-prd-c1e4,clgx-valex-data-prd-e54b,0
clgx-network-au-prd-c1e4,clgx-property-bureau-prd-685c,0
clgx-network-au-prd-c1e4,clgx-clasia-dwh-prd-aa1e,0
clgx-network-au-prd-c1e4,clgx-valex-data-dr-15e9,0
clgx-network-au-prd-c1e4,clgx-jira-conf-prd-9d55,0
clgx-network-au-prd-c1e4,clgx-suburb-scorecard-prd-181b,0
clgx-network-au-sbx-0588,clgx-valex-app-sbx-be9c,0
clgx-network-au-sbx-0588,clgx-property-bureau-sbx-1bba,4
clgx-network-au-sbx-0588,clgx-jira-conf-sbx-62d2,0
clgx-network-au-sbx-0588,clgx-suburb-scorecard-sbx-7880,0
clgx-network-au-sbx-0588,clgx-valex-data-sbx-14fe,0
clgx-network-au-sbx-0588,clgx-clasia-dwh-sbx-52d5,0
clgx-network-au-sbx-0588,clgx-rpp-crux-sbx-388d,0
clgx-network-fnc-c278,clgx-fnc-vel-glb-prd-bec1,0
clgx-network-fnc-c278,clgx-fnc-glb-sbx-a94c,26
clgx-network-fnc-c278,clgx-fnc-glb-dev-1e27,0
clgx-network-fnc-c278,clgx-fnc-glb-data-sbx-367d,3
clgx-network-fnc-c278,clgx-fnc-glb-data-nonprd-52bd,0
